ID,MONTHS_BALANCE,STATUS
5008858,-11,C
5008858,-12,X
5008858,-13,X
5008858,-14,0
5008858,-15,0
5008858,-16,X
5008858,-17,C
5008858,-18,C
5008858,-19,X
5008858,-20,X
5008858,-21,X
5008858,-22,C
5008858,-23,0
5008858,-24,C
5008858,-25,C
5008858,-26,C
5008858,-27,0
5008859,0,0
5008859,-1,C
5008859,-2,C
5008859,-3,C
5008859,-4,0
5008859,-5,C
5008859,-6,C
5008859,-7,X
5008859,-8,C
5008859,-9,X
5008860,0,C
5008860,-1,X
5008860,-2,C
5008860,-3,0
5008860,-4,C
5008860,-5,C
5008860,-6,X
5008860,-7,C
5008860,-8,C
5008860,-9,X
5008860,-10,X
5008860,-11,0
5008860,-12,X
5008860,-13,C
5008860,-14,X
5008860,-15,C
5008860,-16,X
5008860,-17,C
5008861,0,0
5008861,-1,C
5008861,-2,X
5008861,-3,C
5008861,-4,X
5008861,-5,C
5008861,-6,C
5008861,-7,X
5008861,-8,X
5008861,-9,C
5008861,-10,X
5008861,-11,C
5008861,-12,C
5008861,-13,C
5008861,-14,C
5008861,-15,C
5008861,-16,0
5008861,-17,C
5008861,-18,C
5008862,0,C
5008862,-1,4
5008862,-2,X
5008862,-3,C
5008862,-4,C
5008862,-5,C
5008862,-6,C
5008862,-7,C
5008862,-8,C
5008862,-9,C
5008862,-10,2
5008863,0,0
5008863,-1,X
5008863,-2,X
5008863,-3,C
5008864,0,X
5008864,-1,0
5008864,-2,C
5008864,-3,X
5008864,-4,X
5008864,-5,C
5008864,-6,C
5008864,-7,X
5008864,-8,X
5008864,-9,C
5008864,-10,X
5008864,-11,C
5008864,-12,C
5008864,-13,C
5008864,-14,C
5008864,-15,0
5008864,-16,C
5008864,-17,C
5008864,-18,C
5008864,-19,C
5008864,-20,X
5008864,-21,C
5008864,-22,X
5008864,-23,C
5008864,-24,C
5008864,-25,C
5008865,0,0
5008865,-1,C
5008865,-2,C
5008865,-3,C
5008865,-4,X
5008865,-5,C
5008865,-6,X
5008865,-7,C
5008865,-8,C
5008865,-9,X
5008865,-10,0
5008865,-11,C
5008865,-12,C
5008865,-13,C
5008865,-14,C
5008865,-15,C
5008865,-16,X
5008865,-17,X
5008865,-18,C
5008865,-19,X
5008865,-20,X
5008865,-21,X
5008865,-22,X
5008865,-23,C
5008865,-24,C
5008865,-25,X
5008865,-26,C
5008865,-27,X
5008865,-28,X
5008865,-29,C
5008866,0,X
5008866,-1,X
5008866,-2,C
5008866,-3,C
5008866,-4,C
5008866,-5,3
5008866,-6,X
5008866,-7,2
5008866,-8,C
5008866,-9,C
5008866,-10,X
5008866,-11,C
5008867,0,C
5008867,-1,0
5008867,-2,C
5008867,-3,C
5008867,-4,C
5008867,-5,C
5008867,-6,0
5008867,-7,C
5008867,-8,X
5008867,-9,X
5008867,-10,X
5008867,-11,X
5008868,0,C
5008868,-1,X
5008868,-2,X
5008868,-3,C
5008868,-4,C
5008868,-5,C
5008868,-6,C
5008868,-7,0
5008868,-8,X
5008868,-9,C
5008868,-10,0
5008868,-11,X
5008868,-12,C
5008868,-13,C
5008868,-14,X
5008868,-15,0
5008868,-16,C
5008868,-17,X
5008868,-18,C
5008868,-19,C
5008868,-20,X
5008868,-21,0
5008868,-22,X
5008868,-23,C
5008868,-24,C
5008868,-25,C
5008868,-26,X
5008869,0,C
5008869,-1,C
5008869,-2,C
5008869,-3,C
5008869,-4,X
5008869,-5,C
5008869,-6,2
5008869,-7,C
5008869,-8,X
5008869,-9,X
5008869,-10,C
5008869,-11,3
5008869,-12,X
5008869,-13,X
5008869,-14,X
5008869,-15,C
5008869,-16,C
5008869,-17,5
5008869,-18,0
5008869,-19,C
5008869,-20,C
5008869,-21,C
5008869,-22,C
5008870,0,C
5008870,-1,C
5008870,-2,C
5008870,-3,C
5008870,-4,X
5008870,-5,C
5008870,-6,C
5008870,-7,C
5008870,-8,C
5008870,-9,C
5008870,-10,X
5008870,-11,C
5008870,-12,C
5008870,-13,C
5008870,-14,C
5008870,-15,X
5008870,-16,C
5008871,0,X
5008871,-1,X
5008871,-2,X
5008871,-3,C
5008871,-4,C
5008871,-5,C
5008871,-6,C
5008871,-7,C
5008871,-8,C
5008871,-9,C
5008871,-10,C
5008871,-11,X
5008871,-12,C
5008871,-13,C
5008871,-14,X
5008871,-15,C
5008871,-16,C
5008871,-17,C
5008871,-18,C
5008871,-19,C
5008871,-20,C
5008871,-21,C
5008872,0,C
5008872,-1,C
5008872,-2,X
5008872,-3,0
5008872,-4,C
5008872,-5,X
5008872,-6,0
5008872,-7,X
5008872,-8,C
5008872,-9,X
5008872,-10,X
5008872,-11,X
5008872,-12,0
5008872,-13,C
5008872,-14,C
5008872,-15,C
5008873,0,C
5008873,-1,C
5008873,-2,C
5008873,-3,C
5008873,-4,X
5008873,-5,X
5008873,-6,X
5008873,-7,C
5008873,-8,C
5008873,-9,X
5008873,-10,C
5008873,-11,C
5008873,-12,C
5008873,-13,C
5008873,-14,0
5008873,-15,X
5008873,-16,X
5008874,0,C
5008874,-1,X
5008874,-2,C
5008874,-3,X
5008874,-4,C
5008874,-5,C
5008874,-6,C
5008874,-7,0
5008874,-8,X
5008874,-9,X
5008874,-10,X
5008874,-11,X
5008874,-12,C
5008874,-13,C
5008874,-14,X
5008874,-15,C
5008875,0,X
5008875,-1,C
5008875,-2,C
5008875,-3,X
5008875,-4,X
5008875,-5,C
5008875,-6,C
5008875,-7,C
5008875,-8,0
5008875,-9,X
5008875,-10,X
5008875,-11,C
5008875,-12,C
5008875,-13,C
5008875,-14,C
5008875,-15,C
5008875,-16,X
5008875,-17,C
5008875,-18,X
5008876,0,C
5008876,-1,0
5008876,-2,X
5008876,-3,C
5008876,-4,1
5008876,-5,X
5008876,-6,C
5008876,-7,C
5008876,-8,C
5008876,-9,C
5008876,-10,X
5008876,-11,0
5008876,-12,X
5008876,-13,1
5008876,-14,C
5008876,-15,2
5008876,-16,C
5008876,-17,C
5008876,-18,3
5008876,-19,C
5008876,-20,C
5008876,-21,1
5008876,-22,C
5008876,-23,X
5008876,-24,3
5008876,-25,C
5008876,-26,X
5008876,-27,C
5008876,-28,1
5008876,-29,0
5008877,0,C
5008877,-1,X
5008877,-2,X
5008877,-3,C
5008877,-4,C
5008877,-5,X
5008877,-6,X
5008877,-7,C
5008877,-8,X
5008877,-9,C
5008877,-10,X
5008877,-11,X
5008878,0,0
5008878,-1,X
5008878,-2,X
5008878,-3,X
5008878,-4,C
5008878,-5,C
5008878,-6,X
5008878,-7,X
5008878,-8,C
5008878,-9,X
5008878,-10,0
5008878,-11,C
5008879,0,C
5008879,-1,C
5008879,-2,C
5008879,-3,C
5008879,-4,X
5008879,-5,X
5008879,-6,C
5008879,-7,C
5008879,-8,X
5008879,-9,X
5008879,-10,C
5008879,-11,C
5008879,-12,0
5008879,-13,X
5008879,-14,C
5008879,-15,C
5008879,-16,X
5008879,-17,X
5008879,-18,C
5008880,0,X
5008880,-1,2
5008880,-2,X
5008880,-3,C
5008881,0,0
5008881,-1,X
5008881,-2,X
5008881,-3,C
5008881,-4,X
5008881,-5,C
5008881,-6,0
5008881,-7,X
5008881,-8,C
5008881,-9,X
5008881,-10,X
5008881,-11,X
5008881,-12,C
5008881,-13,C
5008881,-14,C
5008881,-15,C
5008882,0,C
5008882,-1,X
5008882,-2,X
5008883,0,C
5008883,-1,C
5008883,-2,X
5008883,-3,X
5008883,-4,C
5008883,-5,X
5008883,-6,C
5008883,-7,X
5008883,-8,C
5008883,-9,C
5008884,0,C
5008884,-1,C
5008884,-2,1
5008884,-3,C
5008884,-4,C
5008884,-5,C
5008884,-6,C
5008884,-7,X
5008884,-8,C
5008884,-9,C
5008884,-10,1
5008884,-11,1
5008884,-12,C
5008884,-13,C
5008884,-14,C
5008884,-15,C
5008884,-16,X
5008884,-17,X
5008884,-18,X
5008884,-19,4
5008884,-20,1
5008884,-21,C
5008884,-22,C
5008884,-23,3
5008885,0,X
5008885,-1,0
5008885,-2,C
5008885,-3,X
5008885,-4,X
5008885,-5,C
5008885,-6,C
5008886,0,0
5008886,-1,X
5008886,-2,X
5008886,-3,X
5008886,-4,C
5008886,-5,C
5008886,-6,C
5008886,-7,C
5008886,-8,C
5008886,-9,C
5008886,-10,C
5008886,-11,C
5008886,-12,C
5008886,-13,C
5008886,-14,X
5008886,-15,0
5008886,-16,0
5008886,-17,X
5008886,-18,C
5008886,-19,X
5008886,-20,C
5008886,-21,X
5008886,-22,X
5008886,-23,C
5008886,-24,X
5008887,0,C
5008887,-1,X
5008887,-2,X
5008887,-3,X
5008887,-4,C
5008887,-5,0
5008887,-6,X
5008887,-7,C
5008887,-8,X
5008887,-9,X
5008887,-10,0
5008887,-11,X
5008887,-12,X
5008887,-13,C
5008887,-14,X
5008888,0,X
5008888,-1,0
5008888,-2,C
5008888,-3,X
5008888,-4,X
5008888,-5,C
5008888,-6,X
5008888,-7,C
5008888,-8,0
5008888,-9,X
5008889,0,X
5008889,-1,C
5008889,-2,X
5008890,0,X
5008890,-1,X
5008890,-2,C
5008890,-3,C
5008890,-4,C
5008890,-5,C
5008890,-6,X
5008890,-7,C
5008890,-8,C
5008890,-9,X
5008890,-10,C
5008890,-11,X
5008890,-12,C
5008890,-13,C
5008890,-14,C
5008890,-15,C
5008890,-16,C
5008890,-17,X
5008890,-18,C
5008890,-19,C
5008890,-20,0
5008890,-21,X
5008890,-22,X
5008891,0,2
5008891,-1,2
5008891,-2,0
5008891,-3,C
5008891,-4,C
5008891,-5,C
5008891,-6,C
5008891,-7,X
5008891,-8,X
5008891,-9,X
5008891,-10,4
5008891,-11,0
5008891,-12,1
5008891,-13,X
5008891,-14,C
5008891,-15,C
5008891,-16,1
5008891,-17,X
5008891,-18,X
5008891,-19,C
5008891,-20,1
5008891,-21,C
5008891,-22,C
5008891,-23,C
5008891,-24,X
5008891,-25,C
5008891,-26,C
5008892,0,C
5008892,-1,C
5008892,-2,C
5008892,-3,X
5008892,-4,X
5008892,-5,C
5008892,-6,C
5008892,-7,C
5008892,-8,C
5008892,-9,C
5008892,-10,C
5008892,-11,C
5008892,-12,C
5008892,-13,X
5008892,-14,X
5008892,-15,C
5008892,-16,C
5008892,-17,C
5008892,-18,X
5008892,-19,C
5008892,-20,C
5008892,-21,C
5008892,-22,X
5008893,0,X
5008893,-1,C
5008893,-2,1
5008893,-3,X
5008893,-4,X
5008893,-5,C
5008893,-6,C
5008893,-7,2
5008893,-8,X
5008893,-9,C
5008893,-10,X
5008893,-11,X
5008893,-12,X
5008893,-13,C
5008893,-14,X
5008893,-15,0
5008893,-16,0
5008893,-17,X
5008893,-18,C
5008893,-19,C
5008893,-20,C
5008893,-21,C
5008893,-22,C
5008893,-23,2
5008893,-24,C
5008893,-25,3
5008893,-26,0
5008893,-27,X
5008894,0,0
5008894,-1,X
5008894,-2,X
5008894,-3,X
5008894,-4,X
5008894,-5,X
5008894,-6,0
5008894,-7,X
5008894,-8,C
5008894,-9,X
5008894,-10,C
5008894,-11,X
5008894,-12,C
5008894,-13,C
5008894,-14,X
5008894,-15,C
5008894,-16,C
5008894,-17,0
5008894,-18,3
5008894,-19,X
5008894,-20,X
5008894,-21,C
5008894,-22,X
5008894,-23,0
5008894,-24,C
5008894,-25,X
5008894,-26,C
5008894,-27,5
5008894,-28,0
5008894,-29,C
5008895,0,C
5008895,-1,C
5008895,-2,C
5008895,-3,C
5008895,-4,X
5008895,-5,X
5008895,-6,C
5008895,-7,C
5008895,-8,C
5008895,-9,X
5008895,-10,X
5008895,-11,C
5008895,-12,C
5008895,-13,C
5008895,-14,X
5008895,-15,X
5008895,-16,C
5008895,-17,0
5008895,-18,X
5008895,-19,X
5008896,0,1
5008896,-1,X
5008896,-2,C
5008896,-3,C
5008896,-4,C
5008896,-5,X
5008896,-6,C
5008896,-7,X
5008896,-8,X
5008896,-9,C
5008896,-10,C
5008896,-11,C
5008896,-12,C
5008896,-13,2
5008896,-14,C
5008896,-15,1
5008897,0,X
5008897,-1,X
5008897,-2,C
5008897,-3,X
5008897,-4,C
5008897,-5,C
5008897,-6,C
5008897,-7,0
5008897,-8,X
5008897,-9,C
5008897,-10,X
5008897,-11,C
5008897,-12,X
5008897,-13,X
5008897,-14,X
5008897,-15,C
5008897,-16,X
5008897,-17,0
5008897,-18,0
5008897,-19,0
5008897,-20,C
5008897,-21,C
5008897,-22,C
