ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008861,M,Y,Y,0,65100.0,Working,Secondary / secondary special,Single / not married,With parents,-8413,-103,1,0,0,1,Laborers,1
5008862,M,Y,Y,0,168500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-10359,-331,1,0,0,0,nan,1
5008863,M,Y,Y,0,69300.0,State servant,Incomplete higher,Married,Rented apartment,-10639,-4073,1,0,0,0,nan,2
5008864,M,N,Y,0,63200.0,Commercial associate,Higher education,Single / not married,House / apartment,-13132,-10,1,0,0,0,Laborers,1
5008865,M,N,N,1,50000.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-10221,-3237,1,0,0,0,Sales staff,3
5008866,F,N,N,0,51600.0,Pensioner,Higher education,Married,With parents,-13788,365243,1,1,1,0,Core staff,2
5008867,M,Y,N,0,57300.0,Working,Higher education,Married,House / apartment,-19149,-89,1,0,0,0,Sales staff,2
5008868,M,N,Y,0,158100.0,Commercial associate,Incomplete higher,Married,Rented apartment,-15979,-3929,1,0,0,0,Managers,2
5008869,F,N,N,0,102100.0,State servant,Incomplete higher,Married,Rented apartment,-7923,-426,1,0,0,0,Security staff,2
5008870,M,Y,Y,1,69900.0,Working,Incomplete higher,Separated,With parents,-24176,-3591,1,1,0,1,Laborers,2
5008871,F,N,N,0,97000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20575,-1061,1,0,0,1,nan,1
5008872,M,Y,N,1,200300.0,Commercial associate,Higher education,Single / not married,House / apartment,-10188,-3186,1,0,0,0,nan,2
5008873,F,Y,N,1,43400.0,Working,Higher education,Civil marriage,With parents,-12565,-3744,1,0,1,0,Drivers,3
5008874,F,N,N,2,68700.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-11009,-121,1,0,0,1,Managers,3
5008875,M,N,N,0,175200.0,Working,Incomplete higher,Married,House / apartment,-15271,-1593,1,1,0,0,Drivers,2
5008876,M,N,N,0,65100.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-19915,-831,1,0,0,0,Laborers,1
5008877,F,N,N,1,123200.0,Commercial associate,Higher education,Widow,Office apartment,-20198,-4130,1,0,1,0,Accountants,2
5008878,F,Y,Y,0,124800.0,Working,Secondary / secondary special,Married,House / apartment,-22046,-1364,1,0,0,0,Managers,2
5008879,F,N,N,0,72600.0,Working,Higher education,Single / not married,Rented apartment,-25079,-851,1,0,0,0,Core staff,1
5008880,F,N,Y,1,99700.0,Working,Secondary / secondary special,Married,House / apartment,-19687,-145,1,1,0,0,Managers,3
5008881,M,N,Y,0,64100.0,Working,Higher education,Married,House / apartment,-11814,-590,1,0,1,0,Core staff,2
5008882,M,N,Y,0,165600.0,Working,Secondary / secondary special,Widow,House / apartment,-12085,-5673,1,0,0,1,Accountants,1
5008883,M,Y,N,1,59900.0,Working,Lower secondary,Married,With parents,-18935,-4081,1,0,1,0,Drivers,3
5008884,F,Y,Y,3,30900.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,-12955,365243,1,0,0,0,Sales staff,5
5008885,F,N,Y,2,136400.0,Commercial associate,Higher education,Widow,House / apartment,-20257,-2083,1,0,1,0,Sales staff,3
5008886,M,Y,N,0,100700.0,Working,Higher education,Single / not married,Municipal apartment,-10604,-4137,1,0,1,0,Cooking staff,1
5008887,M,N,N,0,78200.0,Working,Secondary / secondary special,Married,House / apartment,-9835,-2565,1,1,0,0,High skill tech staff,2
5008888,M,Y,N,0,74200.0,Working,Secondary / secondary special,Married,House / apartment,-20920,-815,1,1,1,0,Accountants,2
5008889,M,Y,Y,0,73100.0,Commercial associate,Secondary / secondary special,Separated,With parents,-8431,-332,1,0,0,0,Drivers,1
5008890,F,Y,Y,2,52500.0,Working,Higher education,Married,House / apartment,-23697,-3554,1,0,1,1,Laborers,4
5008891,F,N,Y,0,55700.0,Working,Incomplete higher,Married,With parents,-22108,-1037,1,0,0,0,Laborers,2
5008892,F,Y,Y,0,84200.0,Working,Secondary / secondary special,Married,House / apartment,-12687,-306,1,0,1,0,Sales staff,2
5008893,F,N,Y,3,70000.0,State servant,Incomplete higher,Widow,Rented apartment,-25484,-325,1,0,0,0,nan,4
5008894,M,N,N,2,46700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12773,-269,1,0,1,0,Managers,3
5008895,F,Y,Y,2,39300.0,Pensioner,Higher education,Married,House / apartment,-15792,365243,1,1,0,0,Cooking staff,4
5008896,F,N,Y,2,66500.0,Working,Higher education,Single / not married,House / apartment,-25245,-1630,1,0,1,0,Laborers,3
5008897,F,N,Y,1,92000.0,Working,Lower secondary,Separated,House / apartment,-8023,-1300,1,0,0,0,Accountants,2
5008898,F,N,Y,0,83400.0,Working,Higher education,Widow,House / apartment,-20566,-4809,1,0,0,0,Core staff,1
5008899,F,N,Y,0,169200.0,State servant,Higher education,Civil marriage,House / apartment,-19578,-2437,1,0,0,0,Managers,2
5008900,F,Y,Y,0,47100.0,Working,Higher education,Civil marriage,House / apartment,-16387,-199,1,0,0,0,Core staff,2
5008901,F,Y,N,0,93800.0,Working,Secondary / secondary special,Married,House / apartment,-16835,-6437,1,0,1,0,Accountants,2
5008902,M,N,Y,2,97300.0,Working,Incomplete higher,Married,With parents,-11231,-274,1,0,0,0,Sales staff,4
5008903,M,Y,Y,0,103700.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-21879,-2988,1,0,0,1,Managers,2
5008904,M,N,Y,0,64000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14052,-7529,1,0,1,1,Core staff,1
5008905,F,N,Y,0,67200.0,Commercial associate,Academic degree,Separated,House / apartment,-11114,-4590,1,0,0,1,Core staff,1
5008906,M,Y,Y,0,28700.0,Student,Higher education,Married,Office apartment,-9536,-2565,1,0,0,0,Laborers,2
5008907,F,N,Y,2,32700.0,Working,Incomplete higher,Single / not married,Office apartment,-20122,-1563,1,0,1,0,Drivers,3
5008908,F,Y,Y,1,60300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9139,-2665,1,0,1,1,Laborers,2
5008909,M,Y,N,1,47200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10743,-2067,1,0,1,0,Core staff,3
5008910,M,Y,Y,0,59600.0,Pensioner,Higher education,Married,With parents,-8568,365243,1,1,0,1,Managers,2
5008911,F,N,Y,1,96900.0,Working,Higher education,Civil marriage,With parents,-24469,-673,1,0,1,0,Core staff,3
5008912,M,Y,Y,1,45100.0,Working,Secondary / secondary special,Married,Rented apartment,-25065,-2234,1,0,0,0,Drivers,3
5008913,M,N,Y,1,27000.0,Pensioner,Higher education,Single / not married,House / apartment,-10369,365243,1,1,1,0,Laborers,2
5008914,M,N,Y,3,37900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11129,-3518,1,0,1,1,nan,4
5008915,M,N,Y,3,119200.0,State servant,Higher education,Married,With parents,-23166,-1389,1,0,1,0,Accountants,5
5008916,F,N,Y,4,138000.0,Commercial associate,Higher education,Single / not married,House / apartment,-16767,-728,1,1,0,1,Managers,5
5008917,F,N,Y,1,122400.0,Commercial associate,Incomplete higher,Widow,House / apartment,-20715,-695,1,1,0,0,nan,2
5008918,F,Y,Y,3,143800.0,Working,Lower secondary,Married,House / apartment,-8477,-1886,1,1,1,0,Cooking staff,5
5008919,F,N,Y,0,203500.0,Commercial associate,Academic degree,Single / not married,With parents,-22201,-4512,1,1,0,0,Sales staff,1
5008920,F,N,Y,2,58500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17458,-3635,1,0,1,0,Laborers,4
5008921,M,N,N,2,76500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15852,-1739,1,0,0,0,Core staff,4
5008922,F,N,N,2,103900.0,Working,Incomplete higher,Married,House / apartment,-23614,-1413,1,0,0,0,Core staff,4
5008923,F,N,N,2,27000.0,State servant,Secondary / secondary special,Married,With parents,-18912,-2177,1,0,1,0,Medicine staff,4
5008924,F,N,N,0,65300.0,Working,Secondary / secondary special,Single / not married,With parents,-19933,-1705,1,1,0,0,Drivers,1
5008925,F,N,N,0,112800.0,Working,Higher education,Married,With parents,-8800,-2280,1,0,0,0,Security staff,2
5008926,M,N,N,0,65600.0,State servant,Higher education,Married,House / apartment,-11782,-5176,1,0,0,0,Managers,2
5008927,M,N,Y,1,127100.0,Commercial associate,Incomplete higher,Widow,House / apartment,-25214,-6170,1,0,1,0,Medicine staff,2
5008928,M,Y,Y,0,29700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24579,-2969,1,0,0,1,Sales staff,1
5008929,F,N,Y,0,87300.0,State servant,Secondary / secondary special,Single / not married,Rented apartment,-20828,-1256,1,0,0,0,Drivers,1
5008930,F,N,N,1,59400.0,Working,Higher education,Single / not married,House / apartment,-24920,-2981,1,0,0,0,High skill tech staff,2
5008931,F,N,N,1,66100.0,Working,Higher education,Separated,With parents,-14534,-3464,1,0,0,0,Medicine staff,2
5008932,M,N,Y,3,59700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13813,-501,1,0,0,1,Medicine staff,5
5008933,F,N,N,1,150200.0,Working,Secondary / secondary special,Married,House / apartment,-16934,-3729,1,0,1,0,Core staff,3
5008934,M,Y,Y,2,79200.0,State servant,Secondary / secondary special,Married,House / apartment,-15895,-5440,1,0,1,0,Sales staff,4
5008935,M,N,Y,1,50800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16503,365243,1,0,1,0,Core staff,3
5008936,M,N,Y,2,184900.0,Working,Secondary / secondary special,Married,House / apartment,-22641,-2263,1,0,0,0,Accountants,4
5008937,M,Y,Y,0,31400.0,Pensioner,Academic degree,Single / not married,House / apartment,-9823,365243,1,0,0,0,Core staff,1
5008938,F,N,Y,0,77900.0,Working,Lower secondary,Married,House / apartment,-14683,-2532,1,0,1,0,Sales staff,2
5008939,M,N,N,3,67300.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9170,-2024,1,0,0,0,Medicine staff,5
5008940,F,N,N,1,55300.0,State servant,Secondary / secondary special,Single / not married,Rented apartment,-17933,-940,1,0,0,0,Sales staff,2
5008941,F,Y,N,1,54600.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-20375,365243,1,0,0,0,Core staff,3
5008942,M,N,Y,0,64400.0,Working,Secondary / secondary special,Married,Rented apartment,-20685,-1287,1,1,1,0,High skill tech staff,2
5008943,F,N,N,0,178100.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-22656,-5497,1,0,0,0,nan,2
5008944,F,N,Y,1,163100.0,Working,Higher education,Single / not married,Municipal apartment,-20360,-3577,1,0,1,0,Laborers,2
5008945,M,Y,Y,0,68000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11771,-794,1,0,1,0,Security staff,2
5008946,F,N,N,0,45700.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-17126,-504,1,0,0,0,Laborers,2
5008947,M,N,Y,0,64100.0,Working,Academic degree,Widow,House / apartment,-24480,-1281,1,0,0,0,Sales staff,1
5008948,M,N,Y,0,117200.0,Working,Higher education,Single / not married,Municipal apartment,-15741,-3145,1,1,0,0,Sales staff,1
5008949,M,N,Y,1,31900.0,Pensioner,Higher education,Married,House / apartment,-24019,365243,1,1,0,1,Accountants,3
5008950,F,Y,N,3,150600.0,Working,Secondary / secondary special,Married,Rented apartment,-8843,-2554,1,0,0,1,nan,5
5008951,F,N,Y,1,95000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10338,-784,1,1,0,0,Laborers,2
5008952,M,N,N,2,45300.0,State servant,Secondary / secondary special,Married,House / apartment,-17297,-1468,1,1,0,0,Accountants,4
5008953,M,N,N,1,54300.0,Working,Academic degree,Separated,Rented apartment,-17866,-654,1,0,1,1,Sales staff,2
5008954,F,N,N,1,37600.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-10373,365243,1,0,0,0,Cooking staff,2
5008955,M,N,N,0,50900.0,Working,Secondary / secondary special,Married,House / apartment,-23668,-1281,1,0,0,0,Core staff,2
5008956,M,Y,Y,0,43700.0,Working,Lower secondary,Separated,Rented apartment,-12643,-1390,1,1,1,1,Accountants,1
5008957,F,N,Y,1,56500.0,Working,Secondary / secondary special,Married,House / apartment,-22407,-3817,1,1,0,0,Laborers,3
5008958,F,Y,Y,0,61600.0,Working,Secondary / secondary special,Married,House / apartment,-9509,-2867,1,1,0,1,nan,2
5008959,M,Y,Y,2,131200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22473,-1269,1,0,0,0,Laborers,4
5008960,F,N,N,0,89100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15418,-750,1,0,0,1,Core staff,1
5008961,F,N,Y,2,91500.0,Working,Secondary / secondary special,Married,House / apartment,-16535,-2220,1,0,0,0,High skill tech staff,4
5008962,M,N,Y,3,85600.0,Working,Higher education,Married,Office apartment,-10304,-3887,1,0,0,1,Security staff,5
5008963,F,N,N,0,51100.0,Working,Secondary / secondary special,Married,House / apartment,-21542,-1131,1,1,1,0,nan,2
5008964,M,N,N,0,128700.0,State servant,Higher education,Married,House / apartment,-22172,-111,1,1,0,0,Laborers,2
5008965,F,N,N,1,39100.0,Pensioner,Lower secondary,Single / not married,House / apartment,-18714,365243,1,0,0,0,Core staff,2
5008966,F,N,N,0,40900.0,Pensioner,Higher education,Single / not married,House / apartment,-9049,365243,1,0,1,1,Cooking staff,1
5008967,F,Y,N,0,108400.0,Commercial associate,Higher education,Single / not married,House / apartment,-14233,-4898,1,0,0,0,Laborers,1
5008968,M,N,N,2,225200.0,Working,Secondary / secondary special,Married,House / apartment,-20378,-3738,1,0,1,0,Accountants,4
5008969,F,N,Y,4,70900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20563,-2537,1,0,1,1,Sales staff,6
5008970,M,N,N,2,27000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-13727,365243,1,0,0,0,High skill tech staff,4
5008971,M,Y,Y,0,83300.0,Working,Secondary / secondary special,Married,House / apartment,-23200,-567,1,1,1,0,Managers,2
5008972,M,Y,Y,0,99500.0,Working,Incomplete higher,Single / not married,House / apartment,-19784,-4358,1,0,0,1,High skill tech staff,1
5008973,F,Y,Y,0,60100.0,Working,Secondary / secondary special,Married,With parents,-22184,-1698,1,0,0,0,High skill tech staff,2
5008974,F,Y,N,0,56000.0,Working,Secondary / secondary special,Married,With parents,-14685,-539,1,0,1,0,High skill tech staff,2
5008975,M,N,N,0,41300.0,Working,Incomplete higher,Married,House / apartment,-25131,-682,1,0,1,0,High skill tech staff,2
5008976,F,Y,Y,0,89400.0,State servant,Higher education,Married,House / apartment,-18613,-3617,1,0,0,1,Drivers,2
5008977,M,Y,Y,2,219300.0,Commercial associate,Incomplete higher,Married,House / apartment,-11053,-4092,1,1,0,0,Accountants,4
5008978,F,Y,N,1,158000.0,Working,Secondary / secondary special,Married,House / apartment,-20478,-4582,1,0,1,0,Medicine staff,3
5008979,M,Y,N,1,104700.0,Commercial associate,Lower secondary,Married,House / apartment,-21518,-667,1,1,0,0,Medicine staff,3
5008980,F,Y,Y,3,60600.0,Working,Higher education,Married,House / apartment,-24758,-4888,1,1,1,0,Security staff,5
5008981,M,N,Y,0,108600.0,Commercial associate,Lower secondary,Married,Municipal apartment,-24980,-1775,1,0,0,0,Sales staff,2
5008982,F,N,N,0,41100.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-24022,365243,1,0,0,0,Accountants,2
5008983,M,Y,Y,2,68500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-19327,-1140,1,0,0,0,nan,4
5008984,M,N,N,4,98400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13903,-647,1,0,0,0,Sales staff,6
5008985,M,N,Y,1,130000.0,Working,Lower secondary,Single / not married,House / apartment,-24983,-137,1,1,1,0,Medicine staff,2
5008986,F,Y,Y,0,83900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19376,-2349,1,0,0,0,Core staff,2
5008987,F,N,Y,2,83500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12856,-282,1,1,0,0,Laborers,4
5008988,M,N,Y,0,42200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23513,365243,1,0,0,0,Managers,2
5008989,F,N,Y,0,130600.0,Commercial associate,Higher education,Married,Office apartment,-23439,-1088,1,0,0,1,Medicine staff,2
5008990,F,N,Y,0,112700.0,State servant,Higher education,Married,Rented apartment,-20208,-2339,1,0,0,0,Core staff,2
5008991,F,Y,N,2,29300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16367,365243,1,0,0,0,Core staff,4
5008992,F,N,Y,0,43900.0,Pensioner,Higher education,Married,House / apartment,-18930,365243,1,1,0,0,Core staff,2
5008993,M,N,N,2,78200.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-19057,365243,1,0,1,0,Core staff,4
5008994,M,N,Y,0,62900.0,Working,Secondary / secondary special,Married,House / apartment,-19428,-643,1,0,0,0,Drivers,2
5008995,F,Y,N,0,136800.0,Working,Secondary / secondary special,Married,With parents,-22245,-4840,1,0,0,0,Core staff,2
5008996,F,N,Y,3,124500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-23437,-1187,1,0,1,0,nan,5
5008997,F,N,Y,0,161200.0,Working,Secondary / secondary special,Married,House / apartment,-23354,-1534,1,0,0,0,Sales staff,2
5008998,M,N,Y,1,41300.0,Pensioner,Incomplete higher,Married,House / apartment,-22673,365243,1,0,1,0,Drivers,3
5008999,M,Y,Y,0,100300.0,Working,Secondary / secondary special,Married,House / apartment,-20561,-5135,1,0,1,0,Sales staff,2
5009000,F,N,N,2,101700.0,Working,Secondary / secondary special,Married,House / apartment,-11385,-670,1,0,0,0,nan,4
5009001,F,N,N,0,77200.0,Pensioner,Higher education,Married,Municipal apartment,-19302,365243,1,0,0,0,Sales staff,2
5009002,F,N,N,0,85700.0,Working,Secondary / secondary special,Separated,Rented apartment,-24750,-188,1,0,0,0,Drivers,1
5009003,F,N,Y,1,120700.0,Working,Secondary / secondary special,Civil marriage,With parents,-8484,-1881,1,0,0,0,Medicine staff,3
5009004,F,N,N,0,55100.0,Working,Higher education,Married,House / apartment,-25332,-4807,1,0,0,1,Laborers,2
5009005,M,N,N,0,46400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10441,365243,1,0,0,0,Laborers,2
5009006,M,N,N,1,46800.0,Commercial associate,Incomplete higher,Married,House / apartment,-19582,-707,1,1,1,0,Managers,3
5009007,F,N,N,0,68000.0,State servant,Higher education,Married,Rented apartment,-21694,-289,1,0,0,0,Drivers,2
5009008,F,N,Y,0,49900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14561,-1524,1,0,0,0,Core staff,1
5009009,M,Y,Y,1,55200.0,Pensioner,Incomplete higher,Married,House / apartment,-20126,365243,1,0,1,0,Managers,3
5009010,M,N,Y,2,114000.0,Working,Academic degree,Married,House / apartment,-22477,-3957,1,0,0,1,Drivers,4
5009011,F,N,N,0,94300.0,Working,Higher education,Married,Rented apartment,-24001,-1613,1,1,0,1,nan,2
5009012,M,N,Y,1,103900.0,Working,Secondary / secondary special,Separated,Rented apartment,-10524,-1790,1,0,1,0,Drivers,2
5009013,M,N,N,1,76300.0,Working,Academic degree,Married,House / apartment,-17068,-6191,1,1,0,0,Managers,3
5009014,F,N,Y,0,68600.0,Working,Higher education,Separated,Rented apartment,-14246,-238,1,0,1,1,Laborers,1
5009015,F,N,Y,0,43100.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-23698,-934,1,0,0,0,Sales staff,1
5009016,F,Y,Y,0,30800.0,Working,Secondary / secondary special,Married,House / apartment,-10845,-1212,1,0,1,0,Sales staff,2
5009017,M,N,Y,2,27000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21392,365243,1,0,1,0,Managers,4
